crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주대덕바이오,DBIO Inc,대덕바이오,,성창근,E,1601110091895,3148130095,대전광역시 유성구 대학로 99 궁동 충남대학교 농업생명공학관 411호,www.dbio.co.kr,,0428234696,0428222287,20322,20000113,12
주네오위즈홀딩스,NEOWIZ HOLDINGS Corporation,네오위즈홀딩스,042420,나성균,K,1101111419517,2148616503,경기도 성남시 분당구 대왕판교로645번길 14네오위즈판교타워,www.neowiz.com,,03180236503,03180236513,64992,19970606,12
대신에프앤아이주식회사,Daishin FI CoLtd,대신에프앤아이,,진종은,E,1101112376815,1018176059,서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터 18층,,,0267121500,023990514,64999,20011116,12
주현대공업,HYUNDAI INDUSTRIAL COLTD,현대공업,170030,강현석,K,1812110001102,6108101557,울산광역시 북구 매곡산업로 528매곡동,www.hdi21.co.kr,,0522761900,0522761904,303,19780912,12
현대트랜시스주식회사,HYUNDAI DYMOS INC,현대트랜시스,,조원장,E,1614110008562,3108112926,충청남도 서산시 성연면 신당1로 105 갈현리 현대다이모스주,www.hyundai-dymos.com,,0313699673,0313699669,30,19991228,12
비씨카드 주식회사,BC CARD CO LTD,비씨카드,,이문환,E,1101110356695,2148137726,서울특별시 서초구 효령로 275,www.bccard.com,,025204587,025003156,64913,19830907,12
주하우리,HAURI Inc,하우리,049130,김희천,E,1101111522534,2298131568,서울특별시 종로구 율곡로 238 예일빌딩 1층 충신동,www.hauri.co.kr,,0236761100,0236768011,58221,19980312,12
주바이오스마트,BioSmart Co Ltd,바이오스마트,038460,윤호권,K,1101110414302,2018149003,서울특별시 성동구 광나루로 172,www.bio-smart.com,,0232189000,0232189050,26293,19851230,12
주휘닉스소재,PHOENIX MATERIALS CO LTD,휘닉스소재,050090,홍석규 고승범 각자대표,K,1760110022266,5138118626,경상북도 구미시 산호대로 422,www.phoenixmaterials.kr,,0544700885,0544676689,2629,20000617,12
메리츠화재해상보험주,Meritz Fire  Marine Insurance CO Ltd,메리츠화재,000060,김용범,Y,1101110013328,1168103752,서울특별시 강남구 강남대로 382 메리츠타워,www.meritzfire.com,,0215667711,37862115,65121,19221001,12
동양파일주,TONGYANG PILE Inc,동양파일,228340,김시년 한웅걸각자 대표이사,K,1648110073035,3128653248,충청남도 아산시 염치읍 아산온천로 16127,www.tongyangphc.com,,0237703157,025455775,23325,20130612,12
에스케이디스커버리주,SK Discovery CoLtd,SK디스커버리,006120,최창원 김철,Y,1301110005727,1358101191,경기도 성남시 분당구 판교로 332 ,www.skdiscovery.com,,0220082008,0220087342,64992,19690701,12
시그네틱스주,Signetics Corp,시그네틱스,033170,김재흥,K,1101110070815,1098100780,경기도 파주시 탄현면 평화로 711,www.signetics.com,,0319407400,0319407887,2612,19660912,12
쌍용자동차주,SSANGYONG MOTOR COLTD,쌍용자동차,003620,예병태,Y,1101110035132,1258114248,경기도 평택시 동삭로 45512,www.smotor.com,,0316101114,0234696992,301,19621206,12
주청담러닝,Chungdahm Learning Inc,청담러닝,096240,이동훈,K,1101112541575,2118716710,서울특별시 강남구 영동대로 731 신영빌딩 15층 외,www.chungdahm.com,,0234299407,0234549449,855,20020605,12
주모두투어자기관리부동산투자회사,MODE TOUR Real Estate Investment Trust Incorporated,모두투어리츠,204210,최동주,Y,1101115313731,1048653123,서울특별시 중구 퇴계로 173 12층충무로3가 남산스퀘어,www.modetourreit.com,,0262535911,0262535911,681,20140110,12
주다원시스,DAWONSYS CO LTD,다원시스,068240,박선순,K,1350110049607,1348129935,경기도 안산시 단원구 시화호수로 485성곡동 주 다원시스,www.dawonsys.com,,03180853010,0313199327,2811,19960115,12
주유니켐,UNICHEM COLTD,유니켐,011330,이장원,Y,1301110011807,1348103920,경기도 안산시 단원구 해봉로 38,www.uni-chem.net,,0314913751,0314918481,15110,19760427,12
SK이노베이션주,SK Innovation Co Ltd,SK이노베이션,096770,김준,Y,1101113710385,1018632319,서울특별시 종로구 종로 26,www.SKinnovation.com,,0221215114,0221212118,64992,20070703,12
덕산하이메탈주,DUKSANHIMETALCOLTD,덕산하이메탈,077360,이준호 김길연각자 대표이사,K,2301110056969,6208119108,울산광역시 북구 무룡1로 66,www.hi-metal.co.kr,,0522890443,0522893500,261,19990506,12
주자비스,XAVIS CO Ltd,자비스,230400,김형철,N,1358110080712,1358153554,경기도 성남시 중원구 사기막골로 177 619상대원동 금강하이테크밸리,www.xavis.co.kr,,0317403800,0317403801,271,20020406,12
대동기어주,DaedongGear,대동기어,008830,이 우 태,K,1911110000758,6198103305,경상남도 사천시 사남면 공단1로 42 주대동기어,www.daedonggear.com,,055 851 2311,055 851 6135,292,19730529,12
주성엔지니어링주,JUSUNG ENGINEERING CoLtd,주성엔지니어링,036930,황철주,K,1301110033281,1248129001,경기도 광주시 오포읍 오포로 240 주성엔지니어링,www.jseng.com,,031 760 7000,0317607223,29229,19950413,12
주식회사 한솔교육,HANSOL EDUCATION Co Ltd,한솔교육,,변재용,E,1101110793061,1058148593,서울특별시 마포구 월드컵북로 361 26층,www.eduhansol.co.kr,,0220015500,0220015696,85502,19910719,12
부산주공주,PUSAN CAST IRON COLTD,부산주공,005030,장세훈,Y,1801110002682,6068101596,부산광역시 기장군 장안읍 신소재산단1로 10 부산주공주,www.pci21c.com,,0517805980,0517805907,30310,19670427,12
코스맥스비티아이주,COSMAX BTI INC,코스맥스비티아이,044820,이경수문성기,Y,1348110018641,1248122463,경기도 성남시 분당구 판교로 255 에프801삼평동판교이노밸리,www.cosmax.com,,0317893000,0313536077,64992,19921112,12
에스케이브로드밴드주,SK Broadband Co Ltd,에스케이브로드밴드,033630,이형희,E,1101111466659,2148618758,서울특별시 중구 퇴계로 24 남대문로5가 SK남산그린빌딩 19층 재무팀,www.skbroadband.com,,0262666874,0262662372,61210,19970926,12
주팬스타엔터프라이즈,Panstar Enterprise Co Ltd,팬스타엔터프라이즈,054300,김현겸 최영학 각자대표,K,1201110126038,1398123687,부산광역시 중구 해관로 30 팬스타크루즈프라자,www.heshbon.com,,00015773520,0325853535,29169,19951121,12
메가엠디주,MegaMD Co Ltd,메가엠디,133750,임수아,K,1101112937857,1208662487,서울특별시 서초구 효령로 321,www.megamd.co.kr,,0234898346,025940015,85503,20040119,12
주플랜티넷,PLANTYNETCoLtd,플랜티넷,075130,김태주,K,1101111985914,2148660218,경기도 성남시 분당구 대왕판교로 670 유스페이스2 A동 6층,www.plantynet.com,,07044897000,0317077900,620,20000601,12
