crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,남화토건,091590,사업보고서 (2018.12),20190329004006,남화토건,20190329,연
Y,대원제약,003220,사업보고서 (2018.12),20190329004002,대원제약,20190329,연
Y,케이씨씨,002380,사업보고서 (2018.12),20190329003997,케이씨씨,20190329,연
K,파인테크닉스,106240,사업보고서 (2018.12),20190329003985,파인테크닉스,20190329,정연
Y,삼성SDI,006400,사업보고서 (2018.12),20190329003979,삼성SDI,20190329,연
Y,제이준코스메틱,025620,사업보고서 (2018.12),20190329003977,제이준코스메틱,20190329,연
Y,한미약품,128940,사업보고서 (2018.12),20190329003969,한미약품,20190329,연
Y,서흥,008490,사업보고서 (2018.12),20190329003967,서흥,20190329,연
K,한일진공,123840,사업보고서 (2018.12),20190329003963,한일진공,20190329,연
K,코콤,015710,사업보고서 (2018.12),20190329003962,코콤,20190329,연
Y,한미사이언스,008930,사업보고서 (2018.12),20190329003955,한미사이언스,20190329,연
K,제너셈,217190,사업보고서 (2018.12),20190329003954,제너셈,20190329,
K,예림당,036000,사업보고서 (2018.12),20190329003953,예림당,20190329,연
Y,폴루스바이오팜,007630,사업보고서 (2018.12),20190329003952,폴루스바이오팜,20190329,연
K,한일진공,123840,[기재정정]분기보고서 (2018.09),20190329003950,한일진공,20190329,
K,오텍,067170,사업보고서 (2018.12),20190329003947,오텍,20190329,연
Y,보령제약,003850,사업보고서 (2018.12),20190329003943,보령제약,20190329,연
K,에스트래픽,234300,사업보고서 (2018.12),20190329003942,에스트래픽,20190329,연
K,조이맥스,101730,사업보고서 (2018.12),20190329003940,조이맥스,20190329,연
Y,한세예스24홀딩스,016450,사업보고서 (2018.12),20190329003936,한세예스24홀딩스,20190329,연
Y,아주캐피탈,033660,사업보고서 (2018.12),20190329003934,아주캐피탈,20190329,연
E,롯데캐피탈,00222295,사업보고서 (2018.12),20190329003932,롯데캐피탈,20190329,연
Y,효성첨단소재,298050,사업보고서 (2018.12),20190329003911,효성첨단소재,20190329,연
K,코데즈컴바인,047770,사업보고서 (2018.12),20190329003900,코데즈컴바인,20190329,연
Y,두산인프라코어,042670,사업보고서 (2018.12),20190329003895,두산인프라코어,20190329,연
K,에스티팜,237690,사업보고서 (2018.12),20190329003893,에스티팜,20190329,연
K,뉴트리바이오텍,222040,사업보고서 (2018.12),20190329003890,뉴트리바이오텍,20190329,연
Y,한라,014790,사업보고서 (2018.12),20190329003889,한라,20190329,연
K,푸른기술,094940,사업보고서 (2018.12),20190329003884,푸른기술,20190329,연
K,iMBC,052220,사업보고서 (2018.12),20190329003878,iMBC,20190329,연
K,CJ프레시웨이,051500,사업보고서 (2018.12),20190329003872,CJ프레시웨이,20190329,연
K,기산텔레콤,035460,사업보고서 (2018.12),20190329003871,기산텔레콤,20190329,연
K,넥스트리밍,139670,사업보고서 (2018.12),20190329003864,넥스트리밍,20190329,연
K,이노메트리,302430,사업보고서 (2018.12),20190329003863,이노메트리,20190329,연
N,미디어젠,279600,사업보고서 (2018.12),20190329003862,미디어젠,20190329,연
E,포스코건설,00100814,사업보고서 (2018.12),20190329003861,포스코건설,20190329,연
Y,대한전선,001440,사업보고서 (2018.12),20190329003853,대한전선,20190329,연
K,신흥에스이씨,243840,[기재정정]사업보고서 (2018.12),20190329003851,신흥에스이씨,20190329,연
Y,일성신약,003120,사업보고서 (2018.12),20190329003847,일성신약,20190329,
K,이노와이어리스,073490,사업보고서 (2018.12),20190329003841,이노와이어리스,20190329,연
Y,AJ네트웍스,095570,사업보고서 (2018.12),20190329003838,AJ네트웍스,20190329,연
K,유지인트,195990,사업보고서 (2018.12),20190329003836,유지인트,20190329,연
K,케이맥,043290,사업보고서 (2018.12),20190329003835,케이맥,20190329,연
K,SM Life Design,063440,사업보고서 (2018.12),20190329003833,SM Life Design,20190329,연
Y,한세실업,105630,사업보고서 (2018.12),20190329003830,한세실업,20190329,연
