crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,지엔코,065060,사업보고서 201812,20190401005177,지엔코,20190401,정연
K,클리오,237880,사업보고서 201812,20190401003071,클리오,20190401,연
K,에버다임,041440,사업보고서 201812,20190401003068,에버다임,20190401,연
K,엔지켐생명과학,183490,사업보고서 201812,20190401003066,엔지켐생명과학,20190401,연
K,솔브레인,036830,사업보고서 201812,20190401003063,솔브레인,20190401,연
Y,덕양산업,024900,사업보고서 201812,20190401003060,덕양산업,20190401,연
E,조은세이프,00658603,사업보고서 201812,20190401003057,조은세이프,20190401,
Y,한국주강,025890,사업보고서 201812,20190401003055,한국주강,20190401,
K,씨젠,096530,사업보고서 201812,20190401003051,씨젠,20190401,연
Y,현대그린푸드,005440,사업보고서 201812,20190401003050,현대그린푸드,20190401,연
Y,강남제비스코,000860,사업보고서 201812,20190401003049,강남제비스코,20190401,연
Y,세진중공업,075580,사업보고서 201812,20190401003047,세진중공업,20190401,연
K,대원,007680,사업보고서 201812,20190401003046,대원,20190401,연
Y,SK디앤디,210980,사업보고서 201812,20190401003043,SK디앤디,20190401,연
K,빛샘전자,072950,사업보고서 201812,20190401003044,빛샘전자,20190401,연
K,에스디시스템,121890,사업보고서 201812,20190401003041,에스디시스템,20190401,
E,알씨아이파이낸셜서비스코리아,00573551,사업보고서 201812,20190401003038,알씨아이파이낸셜서비스코리아,20190401,
Y,SIMPAC,009160,사업보고서 201812,20190401003035,SIMPAC,20190401,연
Y,한국금융지주,071050,사업보고서 201812,20190401003032,한국금융지주,20190401,연
Y,유니온머티리얼,047400,사업보고서 201812,20190401003029,유니온머티리얼,20190401,연
Y,전방,000950,사업보고서 201812,20190401003028,전방,20190401,연
Y,이구산업,025820,사업보고서 201812,20190401003026,이구산업,20190401,
K,엔지스테크널러지,208860,사업보고서 201812,20190401003024,엔지스테크널러지,20190401,
K,필링크,064800,사업보고서 201812,20190401003021,필링크,20190401,연
Y,현대홈쇼핑,057050,사업보고서 201812,20190401003020,현대홈쇼핑,20190401,연
N,루켄테크놀러지스,162120,사업보고서 201812,20190401003018,루켄테크놀러지스,20190401,
Y,대상홀딩스,084690,사업보고서 201812,20190401003015,대상홀딩스,20190401,연
K,위닉스,044340,사업보고서 201812,20190401003014,위닉스,20190401,연
K,한송네오텍,226440,사업보고서 201812,20190401003011,한송네오텍,20190401,
K,대륙제관,004780,사업보고서 201812,20190401003005,대륙제관,20190401,
Y,삼성출판사,068290,사업보고서 201812,20190401003006,삼성출판사,20190401,연
K,아진엑스텍,059120,사업보고서 201812,20190401003004,아진엑스텍,20190401,
K,휴온스글로벌,084110,사업보고서 201812,20190401003003,휴온스글로벌,20190401,연
K,팍스넷,038160,사업보고서 201812,20190401003002,팍스넷,20190401,연
K,소프트센,032680,사업보고서 201812,20190401003001,소프트센,20190401,
E,기흥관광개발,00106720,사업보고서 201812,20190401002998,기흥관광개발,20190401,
E,독립문,00258476,사업보고서 201812,20190401002992,독립문,20190401,
Y,모나리자,012690,사업보고서 201812,20190401002993,모나리자,20190401,
Y,우리종금,010050,사업보고서 201812,20190401002988,우리종금,20190401,연
Y,이연제약,102460,사업보고서 201812,20190401002984,이연제약,20190401,연
Y,롯데하이마트,071840,사업보고서 201812,20190401002981,롯데하이마트,20190401,
Y,유진증권,001200,사업보고서 201812,20190401002982,유진증권,20190401,연
K,이화전기,024810,사업보고서 201812,20190401002978,이화전기,20190401,
K,미래컴퍼니,049950,사업보고서 201812,20190401002969,미래컴퍼니,20190401,연
Y,코스맥스,192820,사업보고서 201812,20190401002962,코스맥스,20190401,연
Y,한솔피엔에스,010420,사업보고서 201812,20190401002951,한솔피엔에스,20190401,
K,크리스에프앤씨,110790,사업보고서 201812,20190401002950,크리스에프앤씨,20190401,연
K,메가스터디교육,215200,사업보고서 201812,20190401002949,메가스터디교육,20190401,연
Y,우진,105840,사업보고서 201812,20190401002947,우진,20190401,연
N,엠에프엠코리아,251960,사업보고서 201812,20190401002945,엠에프엠코리아,20190401,
E,삼미,00125655,사업보고서 201812,20190401002944,삼미,20190401,
K,에치디프로,214870,사업보고서 201812,20190401002943,에치디프로,20190401,연
K,에스아이리소스,065420,사업보고서 201812,20190401002939,에스아이리소스,20190401,연
K,이스트소프트,047560,사업보고서 201812,20190401002935,이스트소프트,20190401,연
Y,케이티스카이라이프,053210,사업보고서 201812,20190401002936,케이티스카이라이프,20190401,연
Y,이월드,084680,사업보고서 201812,20190401002934,이월드,20190401,
Y,남성,004270,사업보고서 201812,20190401002929,남성,20190401,연
K,아스타,246720,사업보고서 201812,20190401002926,아스타,20190401,연
Y,금호에이치티,214330,사업보고서 201812,20190401002920,금호에이치티,20190401,연
Y,롯데지주,004990,사업보고서 201812,20190401002919,롯데지주,20190401,연
E,동양건설산업,00117072,사업보고서 201812,20190401002915,동양건설산업,20190401,
Y,빙그레,005180,사업보고서 201812,20190401002912,빙그레,20190401,연
K,와이엠티,251370,사업보고서 201812,20190401002907,와이엠티,20190401,연
Y,대림통상,006570,사업보고서 201812,20190401002906,대림통상,20190401,연
Y,퍼스텍,010820,사업보고서 201812,20190401002903,퍼스텍,20190401,
K,이엘피,063760,사업보고서 201812,20190401002899,이엘피,20190401,정연
K,바이오톡스텍,086040,사업보고서 201812,20190401002896,바이오톡스텍,20190401,연
K,삼보판지,023600,사업보고서 201812,20190401002889,삼보판지,20190401,연
Y,경농,002100,사업보고서 201812,20190401002886,경농,20190401,연
E,조은시스템,00373650,사업보고서 201812,20190401002882,조은시스템,20190401,
K,에이티젠,182400,사업보고서 201812,20190401002875,에이티젠,20190401,연
K,제이브이엠,054950,사업보고서 201812,20190401002868,제이브이엠,20190401,연
K,큐로홀딩스,051780,사업보고서 201812,20190401002864,큐로홀딩스,20190401,연
Y,한양증권,001750,사업보고서 201812,20190401002860,한양증권,20190401,
E,삼성메디슨,00120988,사업보고서 201812,20190401002859,삼성메디슨,20190401,연
K,에너전트,041590,사업보고서 201812,20190401002854,에너전트,20190401,연
K,현대바이오,048410,사업보고서 201812,20190401002852,현대바이오,20190401,연
K,파트론,091700,사업보고서 201812,20190401002846,파트론,20190401,연
K,해성산업,034810,사업보고서 201812,20190401002837,해성산업,20190401,
